show_id,type,title,release_year,rating,duration,listed_in, description 
81145628,Movie,Norm of the North: King Sized Adventure,2019,TV-PG,90 min,Children & Family Movies, Before planning an awesome wedding for his grandfather  a polar bear king must take back a stolen artifact from an evil archaeologist first. 
80117401,Movie,Jandino: Whatever it Takes,2016,TV-MA,94 min,Stand-Up Comedy," Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show. "
80125979,Movie,#realityhigh,2017,TV-14,99 min,Comedies, When nerdy high schooler Dani finally attracts the interest of her longtime crush  she lands in the cross hairs of his ex  a social media celebrity. 
70304989,Movie,Automata,2014,R,110 min,International Movies, In a dystopian future  an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy. 
80164077,Movie,Fabrizio Copano: Solo pienso en mi,2017,TV-MA,60 min,Stand-Up Comedy, Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks  family WhatsApp groups and more. 
70304990,Movie,Good People,2014,R,90 min,Action & Adventure, A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered. 
70299204,Movie,Kidnapping Mr. Heineken,2015,R,95 min,Action & Adventure," When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983  his abductors make the largest ransom demand in history. "
80182480,Movie,Krish Trish and Baltiboy,2009,TV-Y7,58 min,Children & Family Movies, A team of minstrels  including a monkey  cat and donkey  narrate folktales from the Indian regions of Rajasthan  Kerala and Punjab. 
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,2013,TV-Y7,62 min,Children & Family Movies, An artisan is cheated of his payment  a lion of his throne and a brother of his inheritance in these three stories of deception and justice. 
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,2016,TV-Y,65 min,Children & Family Movies, A cat  monkey and donkey team up to narrate folktales about friendship from Northeast India  and the Indian regions of Bihar and Rajasthan. 
